Year,Mo,tsunami,mag,latitude,longitude,Tsunami Event Validity
2001,1,1,7.7,13.049,-88.66,3
2001,6,1,8.4,-16.265,-73.641,4
2001,10,1,6.1,52.63,-132.2,4
2001,12,1,6.8,23.954,122.734,4
2002,1,1,7.2,-17.6,167.856,4
2002,3,1,7.5,6.033,124.249,4
2002,3,1,6.4,23.346,124.09,3
2002,3,1,7.1,24.279,122.179,4
2002,4,1,6.7,16.985,-100.865,4
2002,9,1,7.6,-3.26,142.94,4
2002,9,1,6.5,13.036,93.068,4
2003,1,1,7.3,-10.491,160.77,4
2003,1,1,7.5,18.77,-104.104,4
2003,5,1,6.8,36.964,3.634,4
2003,5,1,5.7,36.939,3.578,4
2003,8,1,7.6,-60.532,-43.411,4
2003,8,1,6.3,39.16,20.605,3
2003,9,1,8.3,41.815,143.91,4
2003,10,1,7.0,37.812,142.619,4
2003,11,1,7.8,51.146,178.65,4
2003,12,1,7.3,-22.015,169.766,4
2004,1,1,7.1,-22.253,169.683,3
2004,1,1,6.7,-3.12,127.4,4
2004,2,1,5.3,31.675,35.551,4
2004,9,1,7.2,33.07,136.618,4
2004,9,1,7.4,33.184,137.071,4
2004,11,1,6.6,49.277,-128.772,4
2004,11,1,7.5,-8.152,124.868,4
2004,11,1,6.3,15.679,-61.706,4
2004,11,1,7.1,-46.676,164.721,4
2004,11,1,7.0,43.006,145.119,4
2004,12,1,8.1,-49.312,161.345,4
2004,12,1,9.1,3.295,95.982,4
2005,1,1,6.6,34.064,141.491,4
2005,2,1,5.8,15.775,-61.744,3
2005,3,1,8.6,2.085,97.108,4
2005,4,1,6.7,-1.644,99.607,4
2005,6,1,7.2,41.301,-125.97,4
2005,8,1,7.2,38.276,142.039,4
2005,11,1,7.0,38.107,144.896,4
2006,1,1,5.6,31.394,140.131,3
2006,3,1,6.7,-3.595,127.214,4
2006,5,1,8.0,-20.187,-174.123,4
2006,7,1,7.7,-9.284,107.419,4
2006,9,1,6.9,-16.592,-172.033,4
2006,10,1,6.7,19.878,-155.935,4
2006,10,1,6.4,29.351,140.27,4
2006,11,1,5.2,20.656,119.997,4
2006,11,1,8.3,46.592,153.266,4
2006,12,1,7.0,21.799,120.547,4
2007,1,1,8.1,46.243,154.524,4
2007,3,1,7.1,-20.617,169.357,4
2007,3,1,6.7,37.336,136.588,4
2007,4,1,8.1,-8.46,157.044,4
2007,7,1,6.6,37.57,138.478,4
2007,8,1,6.2,47.116,141.798,4
2007,8,1,6.7,51.307,-179.971,4
2007,8,1,8.0,-13.386,-76.603,4
2007,9,1,7.2,-11.61,165.762,4
2007,9,1,8.4,-4.438,101.367,4
2007,9,1,7.4,-49.418,163.954,4
2007,11,1,7.7,-22.247,-69.89,4
2007,12,1,7.8,-25.996,-177.514,4
2008,2,1,6.5,-2.486,99.972,4
2008,4,1,7.3,-20.071,168.892,4
2008,7,1,6.9,37.552,142.214,4
2008,9,1,6.8,41.892,143.754,4
2008,11,1,7.3,1.271,122.091,4
2009,1,1,7.6,-0.414,132.885,4
2009,1,1,7.3,-0.691,133.305,3
2009,1,1,7.4,46.857,155.154,4
2009,2,1,7.2,3.884,126.397,4
2009,3,1,7.6,-23.046,-174.659,4
2009,5,1,7.3,16.72,-86.236,4
2009,6,1,6.7,-5.157,153.782,3
2009,7,1,6.4,34.164,25.471,4
2009,7,1,7.8,-45.762,166.562,4
2009,8,1,7.5,14.099,92.888,3
2009,8,1,6.4,34.743,138.264,4
2009,8,1,6.7,-1.479,99.49,4
2009,9,1,7.0,-7.782,107.297,4
2009,9,1,8.1,-15.489,-172.095,4
2009,9,1,7.5,-0.72,99.867,4
2009,10,1,7.6,-13.006,166.51,4
2010,1,1,6.6,-8.743,157.477,4
2010,1,1,7.1,-8.799,157.346,4
2010,1,1,6.8,-9.019,157.551,4
2010,2,1,7.0,25.93,128.425,3
2010,2,1,8.8,-36.122,-72.898,4
2010,3,1,6.9,-34.29,-71.891,4
2010,4,1,7.8,2.383,97.048,4
2010,5,1,7.2,-13.698,166.643,3
2010,6,1,7.5,7.881,91.936,4
2010,7,1,7.3,-5.931,150.59,3
2010,8,1,7.2,-17.541,168.069,4
2010,8,1,6.9,12.484,141.476,4
2010,10,1,7.8,-3.487,100.082,4
2010,12,1,7.4,26.901,143.698,4
2010,12,1,7.3,-19.702,167.947,4
2011,1,1,6.5,-19.157,168.311,4
2011,1,1,7.0,-20.628,168.471,3
2011,2,1,6.8,-36.474,-73.125,4
2011,3,1,7.3,38.435,142.842,4
2011,3,1,6.3,38.296,142.808,4
2011,3,1,9.1,38.297,142.373,4
2011,4,1,7.1,38.276,141.588,4
2011,5,1,6.8,-20.244,168.226,4
2011,6,1,7.3,52.05,-171.836,4
2011,7,1,7.6,-29.539,-176.34,4
2011,7,1,7.0,38.034,143.264,4
2011,8,1,7.1,-18.365,168.143,4
2011,8,1,7.0,-18.311,168.218,4
2011,9,1,6.8,52.171,-171.708,4
2011,10,1,7.4,-28.993,-176.238,4
2012,1,1,6.4,-10.617,165.16,3
2012,2,1,7.0,-17.827,167.133,4
2012,2,1,6.7,9.999,123.206,4
2012,3,1,6.6,-22.141,170.34,3
2012,3,1,6.7,-19.125,169.613,4
2012,3,1,6.9,40.887,144.944,4
2012,3,1,7.4,16.493,-98.231,4
2012,4,1,8.6,2.327,93.063,4
2012,4,1,8.2,0.802,92.463,4
2012,4,1,6.3,-18.972,168.741,4
2012,8,1,7.3,12.139,-88.59,4
2012,8,1,7.6,10.811,126.638,4
2012,9,1,7.6,10.085,-85.315,4
2012,10,1,7.7,52.788,-132.101,4
2012,11,1,7.3,13.988,-91.895,4
2012,12,1,7.2,37.89,143.949,4
